,Cancer Mortality Rate
0,142.1
1,104.9
2,154.6
3,110.9
4,100.7
5,100.2
6,136.8
7,68.9
8,115.9
9,80.8
10,68.0
11,123.1
12,162.0
13,110.5
14,132.9
15,100.1
16,151.5
17,143.9
18,132.7
19,121.6
20,126.3
21,110.7
22,85.7
23,73.3
24,72.1
25,54.7
26,144.6
27,70.8
28,128.3
29,137.7
30,80.3
31,151.1
32,121.1
33,102.3
34,158.8
35,88.2
36,126.4
37,92.6
38,145.4
39,122.9
40,93.7
41,119.7
42,68.4
43,299.0
44,151.5
45,139.2
46,173.3
47,175.7
48,140.1
49,138.1
50,119.4
51,98.8
52,128.7
53,139.9
54,117.2
55,209.0
56,152.6
57,82.2
58,111.2
59,130.8
60,115.1
61,121.6
62,86.5
63,84.6
64,121.6
65,130.0
66,119.7
67,134.7
68,132.1
69,74.8
70,86.9
71,111.8
72,121.6
73,77.0
74,115.3
75,132.5
76,103.8
77,136.2
78,206.4
79,58.2
80,127.0
81,92.7
82,104.7
83,116.8
84,113.9
85,139.8
86,105.1
87,153.0
88,118.5
89,120.5
90,144.2
91,75.1
92,110.8
93,181.2
94,122.3
95,133.5
96,149.7
97,99.7
98,117.3
99,119.9
100,91.3
101,108.7
102,145.1
103,71.6
104,86.1
105,95.0
106,165.0
107,87.8
108,99.9
109,126.9
110,105.2
111,86.5
112,128.1
113,159.0
114,170.6
115,123.2
116,81.4
117,129.6
118,91.5
119,178.7
120,104.4
121,110.2
122,174.6
123,156.6
124,133.0
125,83.9
126,128.4
127,159.3
128,77.4
129,134.1
130,127.5
131,131.7
132,130.0
133,70.3
134,290.5
135,107.1
136,175.3
137,171.5
138,171.6
139,66.9
140,102.5
141,124.1
142,149.6
143,180.5
144,114.4
145,112.8
146,88.0
147,74.3
148,76.9
149,156.6
150,146.2
151,63.8
152,134.2
153,66.9
154,86.4
155,103.1
