,Cardio Mortality Rate
0,150.8
1,724.4
2,373.9
3,222.5
4,180.4
5,381.5
6,226.6
7,291.1
8,228.4
9,362.2
10,418.7
11,111.8
12,240.1
13,157.0
14,353.7
15,319.1
16,635.9
17,221.5
18,146.1
19,278.7
20,389.3
21,235.2
22,250.6
23,379.4
24,336.8
25,257.6
26,181.7
27,384.0
28,259.4
29,560.5
30,337.6
31,207.9
32,551.7
33,326.1
34,224.8
35,587.9
36,425.4
37,542.3
38,185.1
39,471.1
40,337.6
41,680.7
42,131.2
43,346.3
44,401.7
45,151.2
46,185.8
47,354.3
48,368.0
49,225.1
50,202.4
51,287.4
52,302.4
53,415.4
54,183.9
55,249.5
56,315.3
57,614.0
58,212.2
59,404.2
60,248.5
61,327.1
62,189.3
63,154.7
64,423.6
65,526.6
66,467.5
67,383.4
68,303.2
69,360.1
70,483.3
71,208.5
72,377.4
73,215.7
74,262.7
75,291.2
76,387.3
77,295.4
78,288.8
79,381.4
80,172.1
81,631.6
82,178.9
83,186.2
84,224.2
85,228.0
86,277.6
87,177.6
88,555.5
89,434.7
90,205.3
91,291.3
92,157.2
93,172.2
94,226.1
95,430.1
96,235.0
97,563.2
98,506.2
99,402.1
100,332.5
101,303.4
102,373.7
103,367.4
104,328.9
105,253.2
106,154.2
107,240.8
108,409.3
109,228.1
110,446.4
111,208.1
112,362.3
113,612.6
114,476.3
115,328.8
116,402.8
117,201.1
118,253.7
119,172.4
120,420.0
121,168.8
122,296.1
123,232.9
124,182.0
125,230.9
126,146.6
127,167.6
128,315.5
129,205.4
130,193.2
131,401.3
132,189.1
133,715.3
134,349.7
135,267.5
136,612.9
137,373.4
138,444.3
139,395.9
140,222.7
141,305.7
142,156.1
143,382.1
144,209.8
145,405.5
146,336.7
147,235.7
148,331.8
149,340.9
150,286.5
